Species 1,Species 2,Dist
MW232425.1 A.rochei,KM651784.1 A.rochei,"0,0028901815"
MW232425.1 A.rochei,KP259548.1 A.rochei,"0,0000000000"
KM651784.1 A.rochei,KP259548.1 A.rochei,"0,0028901815"
MW232425.1 A.rochei,MK548578.1 A.rochei,"0,0028901815"
KM651784.1 A.rochei,MK548578.1 A.rochei,"0,0000000000"
KP259548.1 A.rochei,MK548578.1 A.rochei,"0,0028901815"
MW232425.1 A.rochei,MW232421.1 A.rochei,"0,0028901815"
KM651784.1 A.rochei,MW232421.1 A.rochei,"0,0000000000"
KP259548.1 A.rochei,MW232421.1 A.rochei,"0,0028901815"
MK548578.1 A.rochei,MW232421.1 A.rochei,"0,0000000000"
MW232425.1 A.rochei,AB103468.1 A.rochei,"0,0000000000"
KM651784.1 A.rochei,AB103468.1 A.rochei,"0,0028901815"
KP259548.1 A.rochei,AB103468.1 A.rochei,"0,0000000000"
MK548578.1 A.rochei,AB103468.1 A.rochei,"0,0028901815"
MW232421.1 A.rochei,AB103468.1 A.rochei,"0,0028901815"
MW232425.1 A.rochei,AB105165.1 A.rochei,"0,0028901815"
KM651784.1 A.rochei,AB105165.1 A.rochei,"0,0057971664"
KP259548.1 A.rochei,AB105165.1 A.rochei,"0,0028901815"
MK548578.1 A.rochei,AB105165.1 A.rochei,"0,0057971664"
MW232421.1 A.rochei,AB105165.1 A.rochei,"0,0057971664"
AB103468.1 A.rochei,AB105165.1 A.rochei,"0,0028901815"
MW232425.1 A.rochei,AB103467.1 A.rochei,"0,0356483820"
KM651784.1 A.rochei,AB103467.1 A.rochei,"0,0387348116"
KP259548.1 A.rochei,AB103467.1 A.rochei,"0,0356483820"
MK548578.1 A.rochei,AB103467.1 A.rochei,"0,0387348116"
MW232421.1 A.rochei,AB103467.1 A.rochei,"0,0387348116"
AB103468.1 A.rochei,AB103467.1 A.rochei,"0,0356483820"
AB105165.1 A.rochei,AB103467.1 A.rochei,"0,0387348116"
MW232425.1 A.rochei,NC 005313.1 A.rochei,"0,0356483820"
KM651784.1 A.rochei,NC 005313.1 A.rochei,"0,0387348116"
KP259548.1 A.rochei,NC 005313.1 A.rochei,"0,0356483820"
MK548578.1 A.rochei,NC 005313.1 A.rochei,"0,0387348116"
MW232421.1 A.rochei,NC 005313.1 A.rochei,"0,0387348116"
AB103468.1 A.rochei,NC 005313.1 A.rochei,"0,0356483820"
AB105165.1 A.rochei,NC 005313.1 A.rochei,"0,0387348116"
AB103467.1 A.rochei,NC 005313.1 A.rochei,"0,0000000000"
MW232425.1 A.rochei,KP259551.1 A.thazard,"0,1002476079"
KM651784.1 A.rochei,KP259551.1 A.thazard,"0,1037198441"
KP259548.1 A.rochei,KP259551.1 A.thazard,"0,1002476079"
MK548578.1 A.rochei,KP259551.1 A.thazard,"0,1037198441"
MW232421.1 A.rochei,KP259551.1 A.thazard,"0,1037198441"
AB103468.1 A.rochei,KP259551.1 A.thazard,"0,1002476079"
AB105165.1 A.rochei,KP259551.1 A.thazard,"0,0967993184"
AB103467.1 A.rochei,KP259551.1 A.thazard,"0,1042489680"
NC 005313.1 A.rochei,KP259551.1 A.thazard,"0,1042489680"
MW232425.1 A.rochei,AB105447.1 A.thazard,"0,1039769470"
KM651784.1 A.rochei,AB105447.1 A.thazard,"0,1074857333"
KP259548.1 A.rochei,AB105447.1 A.thazard,"0,1039769470"
MK548578.1 A.rochei,AB105447.1 A.thazard,"0,1074857333"
MW232421.1 A.rochei,AB105447.1 A.thazard,"0,1074857333"
AB103468.1 A.rochei,AB105447.1 A.thazard,"0,1039769470"
